Customer_ID,Age,Gender,Tenure,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Churn
9f199b5a-38ff-4df0-a262-77c65148e96d,48,Female,0,62801.14,336,91053.87,1,1,0
25be81b5-60bd-435f-b517-7af93d0d7170,65,Female,7,194498.36,365,75705.63,1,1,0
60431559-6758-4088-bb0c-d8a609882e6d,45,Male,9,13240.14,397,59679.11,1,1,0
669e498a-c79e-4725-ae2f-7a2c9fed9471,57,Male,3,49158.5,450,15934.07,3,0,1
428cc819-ccbe-428a-9ac7-c81c7951907e,53,Male,9,195972.32,590,20283.42,1,1,0
c718211c-a84a-461b-8b9f-f4f10f36f518,62,Male,2,139848.45,749,103953.32,1,1,0
4dbfae3a-a7b8-4776-9e1c-80f97703a2fe,67,Female,9,158757.73,756,45689.7,4,1,0
bdf3dc4c-8a47-4fd9-9f58-d41175815838,56,Female,2,15668.9,304,43631.84,3,1,0
01580b5f-f64a-4745-a0c1-e1e739854e53,56,Male,2,19966.12,485,145094.26,3,0,1
c6db3368-882e-4e10-a72f-5d7ee9dae4d8,55,Male,3,33055.98,819,64220.02,4,0,0
13079893-1e87-4539-8ce8-abeab72372a3,65,Male,7,127176.78,604,25433.57,3,1,0
ed7779f0-24c0-4177-ae56-e8e9887d686b,34,Female,2,100298.03,315,99717.5,4,1,0
7fc06e15-0918-4366-bf70-904150556e8f,65,Male,4,17925.56,833,32619.67,4,1,0
c35d8e84-20d2-4bc6-ba46-49ec1b43a150,53,Female,3,1722.27,717,107486.05,1,1,0
c98b0170-dec5-4b21-b350-a04a215eda82,18,Male,9,22867.68,777,82559.6,1,1,0
3b689617-b5eb-4959-ac20-0f77834702d1,66,Male,9,170932.24,675,139761.35,2,0,0
2afdf757-790e-49b9-b27d-c0df916af212,27,Female,3,24329.77,809,141675.35,4,0,0
36cea0fd-91cf-4cf1-977f-83a51078e975,62,Female,4,179024.69,854,28111.16,3,0,0
abed20b1-4f89-4f40-b9a7-f780912a685b,51,Female,7,199433.53,789,128854.23,3,1,0
52a464bb-e4eb-49c4-907b-feb9b2dd20a8,42,Female,8,100010.21,784,118461.45,4,1,0
45fc2805-fc1b-4f2a-a2e7-5f2098cdc6ab,28,Male,1,159797.72,883,53424.1,2,1,0
ec6483e8-12c0-4aab-a638-ae7c86a2937a,57,Male,0,76803.76,700,71071.87,1,0,0
55bdc227-c1c4-43b5-b2e7-43bd9d0971bb,47,Male,4,192727.89,351,56231.26,4,0,0
a92978e5-bffb-471c-852d-2e696b4e80d0,23,Female,0,178297.27,550,98245.42,4,0,0
b4e1e843-65d8-4d9a-b8c7-a5e62a9ad275,58,Male,9,132682.77,361,142079.24,3,0,0
8e5d067c-243d-4c40-bfd3-7d099b02078f,66,Female,6,148133.43,777,130638.91,2,1,0
d6c62689-17a7-4105-9fff-843024203729,32,Male,10,4778.26,457,125363.06,3,1,0
26d6f62f-141d-43e5-8bcb-329fc44a04fd,23,Female,9,37496.87,685,117089.42,3,0,0
2a6880ca-4adc-4d4f-abae-a3fb10dd7010,57,Male,2,33102.2,670,17529.09,3,0,0
142c0211-ede7-480a-b097-b6a66a8c03f9,62,Male,3,127703.51,623,70317.53,4,0,0
f49e0e7a-bd45-4762-85b4-7f76e973231f,26,Female,5,54947.37,735,101158.5,4,0,0
da526295-30d5-4a12-ab1e-e2cfa49cfa70,47,Male,7,195557.94,407,109157.99,1,1,0
ce85bc3d-a902-42f8-86ba-3b8b9e5a2d3d,59,Male,4,84131.93,898,83717.5,3,1,0
0011ca37-5e00-480c-a36f-39e5191d610a,39,Male,4,85946.26,500,125396.78,4,0,0
3aa9722f-bace-4350-b9b9-524d1db00975,22,Female,10,80723.26,768,60425.15,3,0,0
1ca0a2d0-cad2-417f-8e12-6db0751298b7,37,Male,0,60890.42,522,119355.02,3,1,0
bd74ccf7-7290-4f35-91fd-9c5675358fce,20,Male,2,149496.23,637,142268.87,1,0,0
a740073b-3db4-434a-8540-f502f3153264,69,Male,4,165333.83,570,17087.87,4,1,0
ac356f72-bbc0-43c1-99bc-ba7d208bc995,66,Female,7,65536.86,399,131967.58,1,1,0
7bd7d9f6-0c08-488b-a62a-fc63cf3ff916,29,Male,0,103885.97,869,98618.07,1,0,0
1de6138c-1107-46b9-aad7-31c959e1e61c,46,Female,2,108987.92,418,78465.78,4,1,0
bc208054-6f88-4602-aebd-b5265519ebff,19,Female,4,142692.5,561,86538.35,2,0,0
2adb3996-5659-44c5-bdea-d592242d18f9,30,Male,2,24094.96,355,63799.99,3,0,1
29b576e1-e1d2-4a34-836e-42afbe3caf3f,54,Male,0,184730.41,875,141045.78,1,0,0
df1649f0-8294-45d6-8659-6de8cc55b368,22,Male,3,152016.02,697,115179.15,2,0,0
32c6bfee-ba7d-4a47-95a1-91305ca6a73c,49,Male,7,136771.15,460,48821.42,1,0,0
722e7e15-5f6c-4c0d-9258-30d8c61d0127,40,Male,0,130067.87,517,75161.32,1,1,0
5edca23c-2ab8-4b16-8db3-83246d25daa0,35,Male,6,57788.71,752,30734.06,4,1,0
7d5940a3-bb0c-4da8-ae78-7271ad04ec35,30,Female,7,168427.22,467,145002.61,3,0,0
5a261b13-3c47-4a95-b815-47e98fba8b7d,34,Male,6,139683.36,884,36041.24,4,0,0
fbe02267-50c9-4ec9-a3bb-f7ddeeb985b7,28,Female,7,97210.39,734,20677.8,4,0,0
fa145467-8781-44c0-b1df-4a8e0403eadc,67,Male,10,127654.32,667,106343.14,4,0,0
eac8d7fa-fa31-4230-ab37-287defa2915c,62,Female,10,159024.71,365,147652.54,3,0,0
9fff97ec-5068-43be-b972-94e577467d8c,42,Female,3,49209.61,631,114074.42,3,0,0
b5b630e2-ed4d-465c-b47a-804821b83d63,28,Female,9,84669.69,404,11778.77,2,0,0
08b86c1b-de56-4ad7-89aa-85d621bb1641,30,Male,8,99124.02,446,47866.64,2,1,0
0f55a312-d4a5-4d72-a564-5a6efe181d6b,70,Female,1,193831.7,640,100454.95,2,1,0
59ff71fc-9b80-4001-8c2d-b37234de463f,29,Male,1,64839.93,837,55549.61,4,1,0
fdbe14d2-a6ec-436d-a8c3-57e717868359,62,Male,10,8301.92,545,131249.97,4,1,0
aa31e3d8-151a-4a3c-8b44-dfad30e6f30b,64,Female,0,124203.67,359,130921.91,2,1,0
58c08ed2-3906-49a7-8596-aa9804e99d8e,50,Female,1,116305.32,846,118507.39,3,1,0
cf11a935-e19e-43dd-9863-394956af3f65,45,Female,7,33696.65,750,51765.88,4,0,0
945097bf-9ae0-412e-93bd-8698e58df13e,31,Female,1,135169.42,600,54649.18,4,1,0
